epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,124691,1.91284,1.02324,1.80882,0.65651,0.51803,0.5612,0.40726,1.73022,1.31367,1.84805,0.008746,0.008746,0.008746
40,125220,1.90978,1.03218,1.80211,0.6029,0.53004,0.56532,0.41229,1.72185,1.30635,1.8337,0.008713,0.008713,0.008713
41,128243,1.89736,1.01881,1.80097,0.65647,0.52999,0.56527,0.41543,1.71545,1.29495,1.8332,0.00868,0.00868,0.00868
42,132498,1.89084,1.01481,1.80054,0.61616,0.52928,0.57382,0.4177,1.7068,1.28476,1.8293,0.008647,0.008647,0.008647
43,135585,1.87905,1.01579,1.79627,0.745,0.52399,0.57422,0.41922,1.7033,1.28121,1.82244,0.008614,0.008614,0.008614
44,136114,1.85867,1.00765,1.79072,0.72875,0.53157,0.57278,0.41842,1.69644,1.27903,1.81865,0.008581,0.008581,0.008581
45,136653,1.89718,1.00623,1.79114,0.72858,0.53267,0.57508,0.42184,1.69475,1.25997,1.81548,0.008548,0.008548,0.008548
46,138540,1.87032,0.99849,1.7907,0.73214,0.53641,0.58373,0.42835,1.69126,1.25358,1.81263,0.008515,0.008515,0.008515
47,139377,1.87723,0.98971,1.78375,0.72608,0.54386,0.58749,0.43052,1.68424,1.25054,1.80987,0.008482,0.008482,0.008482
48,141283,1.86978,0.99649,1.77806,0.73062,0.5473,0.59018,0.43232,1.68286,1.25181,1.80967,0.008449,0.008449,0.008449
49,141815,1.84199,0.98811,1.78193,0.72266,0.55106,0.59052,0.43216,1.68049,1.24522,1.80866,0.008416,0.008416,0.008416
1,933.644,6.07418,5.53139,4.76133,0.00178,0.00052,0.0009,0.00021,5.3916,7.27476,4.38381,0.0700089,0.00333235,0.00333235
2,1466.56,4.99538,4.45886,3.5781,0.0664,0.05572,0.04771,0.02078,3.53188,3.63153,2.97783,0.0399869,0.00664368,0.00664368
3,2009.06,3.62651,2.99717,2.6361,0.25659,0.13734,0.17816,0.10769,2.98237,3.2179,2.67251,0.00994289,0.00993302,0.00993302
4,2539.4,3.06159,2.36711,2.40168,0.43228,0.20788,0.24733,0.15512,2.59546,2.62131,2.43714,0.009901,0.009901,0.009901
5,5900.1,2.8068,2.02514,2.27233,0.44501,0.26339,0.28305,0.18681,2.44791,2.29735,2.33897,0.009868,0.009868,0.009868
6,6557.5,2.65533,1.83776,2.22672,0.47481,0.27361,0.30556,0.20277,2.33998,2.23588,2.28271,0.009835,0.009835,0.009835
7,11576.7,2.58427,1.72925,2.17429,0.43456,0.29759,0.32045,0.20979,2.27924,2.175,2.2553,0.009802,0.009802,0.009802
8,12112.6,2.50293,1.62182,2.14679,0.51924,0.31612,0.34583,0.23521,2.2262,2.00162,2.21997,0.009769,0.009769,0.009769
9,15994.9,2.44811,1.55026,2.11401,0.47053,0.34727,0.37897,0.25651,2.15726,1.92569,2.18609,0.009736,0.009736,0.009736
10,16833.2,2.35712,1.47626,2.07678,0.53042,0.35205,0.40632,0.275,2.12539,1.84072,2.15277,0.009703,0.009703,0.009703
11,17373,2.36158,1.4629,2.06509,0.55173,0.36675,0.4168,0.27993,2.10355,1.84573,2.14921,0.00967,0.00967,0.00967
12,21063.9,2.29717,1.41124,2.04142,0.5072,0.35602,0.40536,0.27858,2.04527,1.77893,2.10957,0.009637,0.009637,0.009637
13,21762.1,2.26912,1.37346,2.02681,0.4882,0.38615,0.41417,0.28538,2.03477,1.72812,2.09842,0.009604,0.009604,0.009604
14,22449.4,2.24107,1.34377,2.01587,0.53557,0.3975,0.43895,0.30012,2.0149,1.67436,2.08162,0.009571,0.009571,0.009571
15,22987,2.22139,1.32518,1.99185,0.54501,0.41117,0.43998,0.30584,1.99296,1.63368,2.06406,0.009538,0.009538,0.009538
16,23525.9,2.18325,1.29984,1.97361,0.55,0.4176,0.45354,0.31428,1.95465,1.63794,2.03534,0.009505,0.009505,0.009505
