epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20174.7,1.68909,0.84018,1.66388,0.736,0.66218,0.68399,0.52247,1.56804,1.06649,1.69503,0.008614,0.008614,0.008614
44,20406.6,1.67257,0.83957,1.65936,0.73427,0.65903,0.69263,0.53091,1.56473,1.06762,1.68794,0.008581,0.008581,0.008581
45,20642.2,1.71148,0.8442,1.66252,0.72573,0.64833,0.70253,0.5364,1.56289,1.07144,1.68578,0.008548,0.008548,0.008548
46,20873,1.68798,0.83617,1.65845,0.69868,0.67791,0.71036,0.53879,1.56101,1.06407,1.6862,0.008515,0.008515,0.008515
47,21107.7,1.69794,0.83905,1.65599,0.72701,0.66456,0.70673,0.53444,1.56142,1.06754,1.68703,0.008482,0.008482,0.008482
48,21384.2,1.69602,0.83891,1.65705,0.76597,0.64585,0.70736,0.5384,1.56048,1.06769,1.68793,0.008449,0.008449,0.008449
49,21615,1.67171,0.83471,1.65591,0.66662,0.70331,0.70922,0.54097,1.56123,1.06196,1.68476,0.008416,0.008416,0.008416
50,21847.6,1.69464,0.82494,1.66054,0.72081,0.66611,0.71446,0.54293,1.55942,1.06082,1.68601,0.008383,0.008383,0.008383
51,22082.3,1.68001,0.82595,1.65781,0.64039,0.73518,0.71413,0.54193,1.56308,1.05699,1.68654,0.00835,0.00835,0.00835
52,22314,1.6887,0.82907,1.65962,0.62522,0.7331,0.7142,0.54254,1.55952,1.0531,1.68428,0.008317,0.008317,0.008317
53,22549.2,1.68007,0.82762,1.6548,0.74561,0.6434,0.7078,0.54145,1.55832,1.04718,1.68251,0.008284,0.008284,0.008284
54,22780.7,1.68261,0.82818,1.6554,0.71108,0.67859,0.71419,0.54566,1.55429,1.04581,1.68046,0.008251,0.008251,0.008251
55,23013.3,1.69436,0.82894,1.65227,0.70188,0.6739,0.71486,0.54464,1.55325,1.04624,1.68064,0.008218,0.008218,0.008218
56,23249.2,1.67704,0.81576,1.6549,0.7374,0.64548,0.72101,0.54997,1.55412,1.0449,1.68207,0.008185,0.008185,0.008185
