epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,44329.7,1.17039,1.0219,1.4456,0.73883,0.5464,0.57851,0.41727,1.14417,1.27518,1.52857,0.008614,0.008614,0.008614
44,44996.5,1.16745,1.01812,1.44151,0.72646,0.54923,0.58174,0.41834,1.1427,1.26047,1.52359,0.008581,0.008581,0.008581
45,45668.8,1.17419,1.01605,1.42997,0.72625,0.55176,0.58114,0.42075,1.13891,1.25348,1.52348,0.008548,0.008548,0.008548
46,46335.7,1.16597,1.00767,1.43286,0.73666,0.55619,0.59533,0.42633,1.13718,1.25325,1.52077,0.008515,0.008515,0.008515
47,47006.1,1.16303,1.00437,1.41851,0.74641,0.5479,0.60235,0.42756,1.13492,1.2512,1.51767,0.008482,0.008482,0.008482
48,47854.7,1.16317,1.00868,1.41988,0.73244,0.55713,0.60196,0.43112,1.13086,1.24559,1.51641,0.008449,0.008449,0.008449
49,48522.5,1.15038,1.00078,1.42328,0.73382,0.55402,0.60885,0.43605,1.12858,1.24415,1.51598,0.008416,0.008416,0.008416
50,49191.7,1.15784,0.98306,1.41692,0.7403,0.55386,0.59494,0.42975,1.12482,1.24583,1.51262,0.008383,0.008383,0.008383
51,49862.7,1.14731,0.98508,1.4128,0.7306,0.56809,0.59748,0.43221,1.12301,1.23809,1.50891,0.00835,0.00835,0.00835
52,50529.6,1.15132,0.98872,1.41591,0.74195,0.56798,0.60087,0.4334,1.12023,1.23009,1.50635,0.008317,0.008317,0.008317
53,51199.9,1.14894,0.9835,1.4125,0.74128,0.56857,0.60985,0.43848,1.1179,1.2232,1.50149,0.008284,0.008284,0.008284
54,51866.3,1.14691,0.97949,1.41089,0.74669,0.56926,0.62018,0.44192,1.11546,1.21581,1.50027,0.008251,0.008251,0.008251
55,52537,1.15083,0.97751,1.40446,0.74989,0.56796,0.61946,0.44472,1.11476,1.21499,1.49814,0.008218,0.008218,0.008218
56,53208.5,1.13686,0.96342,1.39928,0.74386,0.5747,0.6208,0.44735,1.11276,1.21421,1.49614,0.008185,0.008185,0.008185
57,53874.8,1.14401,0.97494,1.39718,0.75044,0.57183,0.62137,0.44908,1.11187,1.20988,1.49447,0.008152,0.008152,0.008152
58,54542.9,1.13387,0.97094,1.4011,0.74483,0.57563,0.61452,0.44684,1.10913,1.20969,1.4923,0.008119,0.008119,0.008119
59,56274.5,1.13287,0.95957,1.39898,0.74777,0.57692,0.62415,0.45157,1.10751,1.20932,1.49016,0.008086,0.008086,0.008086
60,56941.4,1.12692,0.95619,1.39493,0.74951,0.5739,0.62267,0.45221,1.1057,1.211,1.48806,0.008053,0.008053,0.008053
61,57612.7,1.13115,0.95521,1.39254,0.74515,0.57878,0.62405,0.45423,1.1042,1.20613,1.48598,0.00802,0.00802,0.00802
