epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17286.3,1.69632,0.84512,1.66991,0.78423,0.61629,0.70339,0.52603,1.55677,1.07832,1.68889,0.008614,0.008614,0.008614
44,17519.2,1.68003,0.84137,1.66612,0.72683,0.61999,0.6994,0.52492,1.5552,1.07195,1.68591,0.008581,0.008581,0.008581
45,17757.4,1.7137,0.84666,1.66494,0.72345,0.62326,0.70778,0.53264,1.54939,1.06981,1.68386,0.008548,0.008548,0.008548
46,17990.7,1.69649,0.84308,1.66571,0.70421,0.63616,0.7075,0.53325,1.54726,1.06714,1.68027,0.008515,0.008515,0.008515
47,18239.6,1.70601,0.84327,1.66416,0.71696,0.63332,0.6907,0.52405,1.54642,1.07518,1.67718,0.008482,0.008482,0.008482
48,18546.4,1.70223,0.84402,1.66122,0.72198,0.63054,0.68501,0.5191,1.54494,1.07655,1.67827,0.008449,0.008449,0.008449
49,18787.5,1.6789,0.8395,1.66396,0.7249,0.63209,0.6794,0.52026,1.54636,1.071,1.67844,0.008416,0.008416,0.008416
50,19021.9,1.70133,0.8331,1.66751,0.71806,0.62386,0.67118,0.51542,1.5451,1.0687,1.67831,0.008383,0.008383,0.008383
51,19267.9,1.69164,0.83272,1.66733,0.7274,0.62637,0.67313,0.51641,1.54393,1.06344,1.67631,0.00835,0.00835,0.00835
52,19501.4,1.69666,0.83799,1.66482,0.73872,0.62763,0.68234,0.52158,1.54187,1.06482,1.67366,0.008317,0.008317,0.008317
53,19751.7,1.68651,0.83347,1.6591,0.74027,0.62632,0.70042,0.53153,1.54058,1.06653,1.67257,0.008284,0.008284,0.008284
54,19984.8,1.69333,0.83672,1.66582,0.72935,0.62612,0.69715,0.53023,1.54141,1.06788,1.67371,0.008251,0.008251,0.008251
55,20221.5,1.70089,0.83352,1.65926,0.7191,0.63584,0.69682,0.52862,1.54105,1.07003,1.67168,0.008218,0.008218,0.008218
