epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,66062.6,1.15715,0.98232,1.44593,0.72137,0.5701,0.58992,0.42633,1.13781,1.25813,1.54728,0.008614,0.008614,0.008614
44,66425.2,1.1532,0.9776,1.44103,0.72448,0.57509,0.5958,0.43156,1.13232,1.24858,1.53969,0.008581,0.008581,0.008581
45,66798.7,1.16042,0.97454,1.43457,0.7172,0.56987,0.59445,0.43083,1.1292,1.26328,1.5355,0.008548,0.008548,0.008548
46,67162.9,1.15313,0.96595,1.43488,0.72717,0.5696,0.59989,0.43527,1.12769,1.24381,1.53424,0.008515,0.008515,0.008515
47,67530.8,1.15039,0.96432,1.4226,0.66736,0.58311,0.6015,0.43783,1.12567,1.23007,1.53237,0.008482,0.008482,0.008482
48,67998.9,1.15086,0.9694,1.42157,0.73008,0.57805,0.6075,0.44213,1.12195,1.23355,1.52928,0.008449,0.008449,0.008449
49,68366.6,1.13806,0.96002,1.42688,0.66462,0.59096,0.60271,0.43853,1.12327,1.22656,1.52941,0.008416,0.008416,0.008416
50,68737.7,1.14241,0.94421,1.41276,0.68408,0.59073,0.60697,0.44075,1.12155,1.22494,1.52499,0.008383,0.008383,0.008383
51,70783.1,1.13529,0.94341,1.41574,0.68792,0.59992,0.60735,0.44043,1.11996,1.20703,1.52438,0.00835,0.00835,0.00835
52,71146.6,1.13674,0.94791,1.41575,0.73333,0.58362,0.60791,0.44127,1.11649,1.20102,1.52295,0.008317,0.008317,0.008317
53,71522.9,1.1343,0.94132,1.41283,0.74099,0.57362,0.61101,0.44489,1.11393,1.19837,1.51813,0.008284,0.008284,0.008284
54,71891.1,1.13069,0.943,1.4118,0.7322,0.5876,0.61109,0.44645,1.11166,1.19796,1.51679,0.008251,0.008251,0.008251
55,72263.5,1.13494,0.93991,1.4048,0.73568,0.58475,0.61255,0.4474,1.11006,1.19461,1.5141,0.008218,0.008218,0.008218
56,72640.8,1.12143,0.92298,1.40097,0.67823,0.59543,0.61707,0.45028,1.10764,1.19038,1.51256,0.008185,0.008185,0.008185
57,73004.4,1.12739,0.93772,1.40129,0.68552,0.60529,0.61885,0.45166,1.10508,1.1901,1.51029,0.008152,0.008152,0.008152
58,73368.8,1.11912,0.93175,1.39747,0.68213,0.60891,0.61779,0.45186,1.10318,1.18974,1.50796,0.008119,0.008119,0.008119
59,73735.2,1.11829,0.92442,1.39824,0.73639,0.59083,0.61961,0.45282,1.10174,1.18826,1.50622,0.008086,0.008086,0.008086
60,74107.7,1.11337,0.91971,1.39621,0.72115,0.59021,0.62022,0.45292,1.10144,1.18644,1.50619,0.008053,0.008053,0.008053
61,77427.8,1.11418,0.91534,1.39205,0.72163,0.59507,0.62157,0.45384,1.1004,1.18323,1.50505,0.00802,0.00802,0.00802
62,81166.1,1.11368,0.90999,1.38656,0.74989,0.58978,0.62238,0.45472,1.099,1.18026,1.50311,0.007987,0.007987,0.007987
63,81598.6,1.11107,0.92053,1.39782,0.74283,0.59186,0.6238,0.4556,1.09797,1.17722,1.50093,0.007954,0.007954,0.007954
